"mrca_group","geo_group","pair_count","total","prob","ref_prob","RR","Meddian","RR_lower","RR_upper","Lineage","geo_distance"
"10-50y","<100km",64,571,0.112084063047285,0.0122591943957968,9.14285714285714,9.5,3.14285714285714,35.6678571428571,"1.1",50
"10-50y",">3000km",254,571,0.444833625218914,0.0122591943957968,36.2857142857143,37,14.6190476190476,128.870145230287,"1.1",3500
"10-50y","100-200km",47,571,0.0823117338003503,0.0122591943957968,6.71428571428571,7,2.04642857142857,25.7142857142857,"1.1",150
"10-50y","1000-2000km",54,571,0.0945709281961471,0.0122591943957968,7.71428571428571,8,2.31178571428571,28.7142857142857,"1.1",1500
"10-50y","200-300km",25,571,0.0437828371278459,0.0122591943957968,3.57142857142857,3.66666666666667,1.07083333333333,12.9047619047619,"1.1",250
"10-50y","2000-3000km",79,571,0.138353765323993,0.0122591943957968,11.2857142857143,12,3.88321428571428,38.2857142857143,"1.1",2500
"10-50y","300-400km",27,571,0.0472854640980736,0.0122591943957968,3.85714285714286,4,0.857142857142857,13.8571428571429,"1.1",350
"10-50y","400-500km",14,571,0.0245183887915937,0.0122591943957968,2,2,0.6,7,"1.1",450
"10-50y","500-1000km",7,571,0.0122591943957968,0.0122591943957968,1,1,1,1,"1.1",750
"10-50y","<100km",20,49.264,0.4059759662228,0.0211919454368301,19.1570881226054,7.6665087079343,12.4985932233295,29.9376295245902,"1.3",50
"10-50y","100-200km",20,49.264,0.4059759662228,0.0211919454368301,19.1570881226054,7.1029952327509,13.0540928898545,29.2788780409816,"1.3",150
"10-50y","200-300km",3,49.264,0.0608963949334199,0.0211919454368301,2.8735632183908,1.00300902708124,2.83209265284802,4.97630533174409,"1.3",250
"10-50y","500-1000km",1.044,49.264,0.0211919454368301,0.0211919454368301,1,1,1,1,"1.3",750
