"time_interval","distance_km","yearly_surface_pressure_2m_difference","yearly_dewpoint_temperature_2m_difference","yearly_temperature_2m_difference","yearly_total_precipitation_sum_difference","pred","upper","lower"
5,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992144202301837,0.994570689242402,0.989717715361271
11.1306532663316,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992136858323507,0.994554210962747,0.989719505684267
17.2613065326633,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992129514345279,0.994537804925124,0.989721223765435
23.391959798995,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992122170367312,0.994521471949,0.989722868785625
29.5226130653267,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992114826389812,0.994505212859604,0.98972443992002
35.6532663316583,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992107482413032,0.994489028487704,0.98972593633836
41.78391959799,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992100138437276,0.994472919669404,0.989727357205147
47.9145728643216,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992092794462896,0.994456887245887,0.989728701679906
54.0452261306532,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992085450490317,0.994440932063293,0.989729968917342
60.175879396985,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.99207810652002,0.994425054972362,0.989731158067677
66.3065326633166,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992070762552518,0.994409256828064,0.989732268276973
72.4371859296483,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992063418588376,0.994393538489418,0.989733298687334
78.5678391959798,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992056074628205,0.994377900819227,0.989734248437182
84.6984924623116,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992048730672641,0.994362344683703,0.989735116661578
90.8291457286433,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992041386722343,0.994346870952205,0.98973590249248
96.9597989949748,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.99203404277798,0.994331480496923,0.989736605059037
103.090452261306,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992026698840232,0.994316174192633,0.989737223487831
109.221105527638,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992019354909789,0.994300952916468,0.989737756903109
115.35175879397,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992012010987349,0.994285817547626,0.989738204427071
121.482412060301,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.992004667073618,0.994270768967146,0.989738565180091
127.613065326633,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991997323169309,0.994255808057636,0.989738838280983
133.743718592965,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991989979275137,0.994240935703008,0.989739022847266
139.874371859296,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991982635391816,0.994226152788197,0.989739117995434
146.005025125628,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991975291520056,0.994211460198853,0.98973912284126
152.13567839196,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991967947660564,0.994196858821018,0.989739036500111
158.266331658291,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991960603814045,0.994182349540753,0.989738858087336
164.396984924623,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991953259981201,0.994167933243775,0.989738586718627
170.527638190955,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991945916162739,0.994153610815105,0.989738221510372
176.658291457286,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991938572359362,0.994139383138719,0.989737761580004
182.788944723618,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991931228571768,0.994125251097216,0.98973720604632
188.91959798995,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991923884800651,0.994111215571447,0.989736554029856
195.050251256281,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991916541046704,0.994097277440122,0.989735804653287
201.180904522613,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991909197310609,0.994083437579455,0.989734957041763
207.311557788945,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991901853593048,0.994069696862722,0.989734010323373
213.442211055276,-0.215853667242581,-0.0442182401526559,-0.12333838334168,-0.162998231190099,0.158134268696439,0.991894509894702,0.994056056159837,0.989732963629566
