"N","fit","lwr","upr","group"
1,3.65355538689679,3.4716192639239,3.83549150986969,"1"
1.01831225612771,3.627457925622,3.44766502082497,3.80725083041903,"1"
1.03662451225541,3.6013604643472,3.42371010207758,3.77901082661683,"1"
1.05493676838312,3.57526300307241,3.39975448293753,3.75077152320729,"1"
1.07324902451082,3.54916554179761,3.37579813744613,3.7225329461491,"1"
1.09156128063853,3.52306808052282,3.3518410383553,3.69429512269034,"1"
1.10987353676623,3.49697061924803,3.32788315704715,3.6660580814489,"1"
1.12818579289394,3.47087315797323,3.30392446344745,3.63782185249901,"1"
1.14649804902164,3.44477569669844,3.27996492593263,3.60958646746424,"1"
1.16481030514935,3.41867823542364,3.25600451122945,3.58135195961783,"1"
1.18312256127706,3.39258077414885,3.23204318430701,3.55311836399068,"1"
1.20143481740476,3.36648331287405,3.20808090826013,3.52488571748798,"1"
1.21974707353247,3.34038585159926,3.18411764418344,3.49665405901508,"1"
1.23805932966017,3.31428839032446,3.16015335103533,3.4684234296136,"1"
1.25637158578788,3.28819092904967,3.13618798549066,3.44019387260868,"1"
1.27468384191558,3.26209346777488,3.11222150178132,3.41196543376843,"1"
1.29299609804329,3.23599600650008,3.08825385152333,3.38373816147683,"1"
1.311308354171,3.20989854522529,3.06428498352925,3.35551210692132,"1"
1.3296206102987,3.18380108395049,3.04031484360436,3.32728732429662,"1"
1.34793286642641,3.1577036226757,3.01634337432504,3.29906387102636,"1"
1.36624512255411,3.1316061614009,2.99237051479745,3.27084180800436,"1"
1.38455737868182,3.10550870012611,2.96839620039456,3.24262119985766,"1"
1.40286963480952,3.07941123885131,2.94442036246917,3.21440211523346,"1"
1.42118189093723,3.05331377757652,2.92044292804047,3.18618462711257,"1"
1.43949414706493,3.02721631630172,2.89646381945109,3.15796881315236,"1"
1.45780640319264,3.00111885502693,2.87248295399168,3.12975475606218,"1"
1.47611865932035,2.97502139375214,2.8485002434892,3.10154254401507,"1"
1.49443091544805,2.94892393247734,2.82451559385492,3.07333227109976,"1"
1.51274317157576,2.92282647120255,2.80052890458752,3.04512403781758,"1"
1.53105542770346,2.89672900992775,2.77654006822614,3.01691795162936,"1"
1.54936768383117,2.87063154865296,2.75254896974743,2.98871412755849,"1"
1.56767993995887,2.84453408737816,2.72855548589997,2.96051268885635,"1"
1.58599219608658,2.81843662610337,2.70455948446852,2.93231376773822,"1"
1.60430445221429,2.79233916482857,2.68056082345941,2.90411750619774,"1"
1.62261670834199,2.76624170355378,2.65655935019742,2.87592405691015,"1"
1.6409289644697,2.74014424227899,2.63255490032278,2.84773358423519,"1"
1.6592412205974,2.71404678100419,2.6085472966757,2.81954626533269,"1"
1.67755347672511,2.6879493197294,2.58453634805361,2.79136229140519,"1"
1.69586573285281,2.6618518584546,2.56052184782455,2.76318186908466,"1"
1.71417798898052,2.63575439717981,2.53650357237725,2.73500522198236,"1"
1.73249024510822,2.60965693590501,2.51248127938591,2.70683259242412,"1"
1.75080250123593,2.58355947463022,2.48845470586398,2.67866424339646,"1"
1.76911475736364,2.55746201335542,2.46442356597763,2.65050046073322,"1"
1.78742701349134,2.53136455208063,2.44038754858473,2.62234155557653,"1"
1.80573926961905,2.50526709080584,2.41634631446001,2.59418786715167,"1"
1.82405152574675,2.47916962953104,2.39229949316055,2.56603976590153,"1"
1.84236378187446,2.45307216825625,2.36824667947875,2.53789765703374,"1"
1.86067603800216,2.42697470698145,2.34418742942092,2.50976198454198,"1"
1.87898829412987,2.40087724570666,2.32012125563992,2.48163323577339,"1"
1.89730055025758,2.37477978443186,2.29604762223837,2.45351194662536,"1"
1.91561280638528,2.34868232315707,2.27196593884513,2.42539870746901,"1"
1.93392506251299,2.32258486188227,2.247875553852,2.39729416991255,"1"
1.95223731864069,2.29648740060748,2.2237757466787,2.36919905453626,"1"
1.9705495747684,2.27038993933269,2.19966571891292,2.34111415975245,"1"
1.9888618308961,2.24429247805789,2.17554458414731,2.31304037196847,"1"
2.00717408702381,2.2181950167831,2.15141135630744,2.28497867725875,"1"
2.02548634315151,2.1920975555083,2.12726493623263,2.25693017478398,"1"
2.04379859927922,2.16600009423351,2.10310409623688,2.22889609223014,"1"
2.06211085540693,2.13990263295871,2.07892746233927,2.20087780357815,"1"
2.08042311153463,2.11380517168392,2.05473349381391,2.17287684955393,"1"
2.09873536766234,2.08770771040912,2.03052045967159,2.14489496114666,"1"
2.11704762379004,2.06161024913433,2.00628641165277,2.11693408661589,"1"
2.13535987991775,2.03551278785954,1.98202915329076,2.08899642242831,"1"
2.15367213604545,2.00941532658474,1.95774620460734,2.06108444856215,"1"
2.17198439217316,1.98331786530995,1.93343476204465,2.03320096857525,"1"
2.19029664830086,1.95722040403515,1.90909165334425,2.00534915472606,"1"
2.20860890442857,1.93112294276036,1.8847132872888,1.97753259823191,"1"
2.22692116055628,1.90502548148556,1.86029559857559,1.94975536439554,"1"
2.24523341668398,1.87892802021077,1.8358339886574,1.92202205176413,"1"
2.26354567281169,1.85283055893597,1.81132326425016,1.89433785362179,"1"
2.28185792893939,1.82673309766118,1.78675757646411,1.86670861885825,"1"
2.3001701850671,1.80063563638639,1.76213036526604,1.83914090750673,"1"
2.3184824411948,1.77453817511159,1.73743431629132,1.81164203393186,"1"
2.33679469732251,1.7484407138368,1.71266133987793,1.78422008779567,"1"
2.35510695345022,1.722343252562,1.68780258539049,1.75688391973351,"1"
2.37341920957792,1.69624579128721,1.66284850692683,1.72964307564759,"1"
2.39173146570563,1.67014833001241,1.63778899839272,1.70250766163211,"1"
2.41004372183333,1.64405086873762,1.61261361521049,1.67548812226475,"1"
2.42835597796104,1.61795340746282,1.58731189473882,1.64859492018683,"1"
2.44666823408874,1.59185594618803,1.56187377613762,1.62183811623844,"1"
2.46498049021645,1.56575848491324,1.53629010243169,1.59522686739478,"1"
2.48329274634415,1.53966102363844,1.51055316494949,1.56876888232739,"1"
2.50160500247186,1.51356356236365,1.48465722854104,1.54246989618625,"1"
2.51991725859957,1.48746610108885,1.45859896304397,1.51633323913373,"1"
2.53822951472727,1.46136863981406,1.43237771004334,1.49035956958477,"1"
2.55654177085498,1.43527117853926,1.4059955370387,1.46454682003983,"1"
2.57485402698268,1.40917371726447,1.37945706893733,1.43889036559161,"1"
2.59316628311039,1.38307625598967,1.35276912784201,1.41338338413733,"1"
2.61147853923809,1.35697879471488,1.32594024333842,1.38801734609133,"1"
2.6297907953658,1.33088133344008,1.29898010849856,1.36278255838161,"1"
2.64810305149351,1.30478387216529,1.27189905104337,1.33766869328721,"1"
2.66641530762121,1.2786864108905,1.2447075705056,1.31266525127539,"1"
2.68472756374892,1.2525889496157,1.2174159691646,1.2877619300668,"1"
2.70303981987662,1.22649148834091,1.19003408388096,1.26294889280085,"1"
2.72135207600433,1.20039402706611,1.16257111136242,1.2382169427698,"1"
2.73966433213203,1.17429656579132,1.13503551141256,1.21355762017007,"1"
2.75797658825974,1.14819910451652,1.10743497008728,1.18896323894576,"1"
2.77628884438744,1.12210164324173,1.07977640553621,1.16442688094725,"1"
2.79460110051515,1.09600418196693,1.0520660019395,1.13994236199437,"1"
2.81291335664286,1.06990672069214,1.02430926015268,1.1155041812316,"1"
1,2.00699215865889,1.41302527352286,2.60095904379491,"2"
1.0070603030741,1.99835331097647,1.41213098963004,2.5845756323229,"2"
1.0141206061482,1.98971446329405,1.41120893352379,2.56821999306432,"2"
1.0211809092223,1.98107561561164,1.41025797885879,2.55189325236449,"2"
1.0282412122964,1.97243676792922,1.40927694212059,2.53559659373785,"2"
1.03530151537051,1.9637979202468,1.40826457929878,2.51933126119482,"2"
1.04236181844461,1.95515907256439,1.40721958235739,2.50309856277138,"2"
1.04942212151871,1.94652022488197,1.40614057549176,2.48689987427218,"2"
1.05648242459281,1.93788137719955,1.40502611116078,2.47073664323832,"2"
1.06354272766691,1.92924252951713,1.40387466588369,2.45461039315057,"2"
1.07060303074101,1.92060368183472,1.40268463579021,2.43852272787922,"2"
1.07766333381511,1.9119648341523,1.40145433191371,2.42247533639089,"2"
1.08472363688921,1.90332598646988,1.40018197521714,2.40646999772263,"2"
1.09178393996332,1.89468713878747,1.39886569134244,2.39050858623249,"2"
1.09884424303742,1.88604829110505,1.39750350507534,2.37459307713476,"2"
1.10590454611152,1.87740944342263,1.3960933345186,2.35872555232667,"2"
1.11296484918562,1.86877059574022,1.39463298496926,2.34290820651117,"2"
1.12002515225972,1.8601317480578,1.39312014249749,2.32714335361811,"2"
1.12708545533382,1.85149290037538,1.39155236722809,2.31143343352267,"2"
1.13414575840792,1.84285405269297,1.38992708632976,2.29578101905617,"2"
1.14120606148202,1.83421520501055,1.38824158672187,2.28018882329923,"2"
1.14826636455613,1.82557635732813,1.3864930075147,2.26465970714156,"2"
1.15532666763023,1.81693750964571,1.38467833220626,2.24919668708517,"2"
1.16238697070433,1.8082986619633,1.38279438066728,2.23380294325932,"2"
1.16944727377843,1.79965981428088,1.38083780095634,2.21848182760542,"2"
1.17650757685253,1.79102096659846,1.37880506101916,2.20323687217777,"2"
1.18356787992663,1.78238211891605,1.37669244033984,2.18807179749226,"2"
1.19062818300073,1.77374327123363,1.3744960216284,2.17299052083886,"2"
1.19768848607483,1.76510442355121,1.37221168264757,2.15799716445485,"2"
1.20474878914893,1.7564655758688,1.36983508830273,2.14309606343486,"2"
1.21180909222304,1.74782672818638,1.36736168314317,2.12829177322959,"2"
1.21886939529714,1.73918788050396,1.36478668444917,2.11358907655875,"2"
1.22592969837124,1.73054903282155,1.3621050761088,2.09899298953429,"2"
1.23299000144534,1.72191018513913,1.35931160351973,2.08450876675853,"2"
1.24005030451944,1.71327133745671,1.35640076978544,2.07014190512798,"2"
1.24711060759354,1.70463248977429,1.3533668335097,2.05589814603889,"2"
1.25417091066764,1.69599364209188,1.35020380852915,2.04178347565461,"2"
1.26123121374174,1.68735479440946,1.346905465958,2.02780412286092,"2"
1.26829151681585,1.67871594672704,1.34346533895112,2.01396655450296,"2"
1.27535181988995,1.67007709904463,1.33987673061879,2.00027746747047,"2"
1.28241212296405,1.66143825136221,1.33613272554631,1.98674377717811,"2"
1.28947242603815,1.65279940367979,1.33222620538099,1.9733726019786,"2"
1.29653272911225,1.64416055599738,1.32814986894383,1.96017124305092,"2"
1.30359303218635,1.63552170831496,1.32389625730053,1.94714715932939,"2"
1.31065333526045,1.62688286063254,1.31945778418106,1.93430793708403,"2"
1.31771363833455,1.61824401295013,1.31482677206586,1.92166125383439,"2"
1.32477394140866,1.60960516526771,1.30999549415577,1.90921483637965,"2"
